ID,PHASE_climbing_ABOVE-FL100_DUR,PHASE_cruising_DUR,PHASE_descending_ABOVE-FL100_DUR,lat_median_climbing_ABOVE-FL100,lat_iqr_climbing_ABOVE-FL100,lon_median_climbing_ABOVE-FL100,lon_iqr_climbing_ABOVE-FL100,h_median_climbing_ABOVE-FL100,h_iqr_climbing_ABOVE-FL100,vdot_median_climbing_ABOVE-FL100,vdot_iqr_climbing_ABOVE-FL100,hdot_median_climbing_ABOVE-FL100,hdot_iqr_climbing_ABOVE-FL100,tempr_median_climbing_ABOVE-FL100,tempr_iqr_climbing_ABOVE-FL100,vwind_median_climbing_ABOVE-FL100,vwind_iqr_climbing_ABOVE-FL100,uwind_median_climbing_ABOVE-FL100,uwind_iqr_climbing_ABOVE-FL100,lat_median_cruising,lat_iqr_cruising,lon_median_cruising,lon_iqr_cruising,h_median_cruising,h_iqr_cruising,vdot_median_cruising,vdot_iqr_cruising,hdot_median_cruising,hdot_iqr_cruising,tempr_median_cruising,tempr_iqr_cruising,vwind_median_cruising,vwind_iqr_cruising,uwind_median_cruising,uwind_iqr_cruising,lat_median_descending_ABOVE-FL100,lat_iqr_descending_ABOVE-FL100,lon_median_descending_ABOVE-FL100,lon_iqr_descending_ABOVE-FL100,h_median_descending_ABOVE-FL100,h_iqr_descending_ABOVE-FL100,vdot_median_descending_ABOVE-FL100,vdot_iqr_descending_ABOVE-FL100,hdot_median_descending_ABOVE-FL100,hdot_iqr_descending_ABOVE-FL100,tempr_median_descending_ABOVE-FL100,tempr_iqr_descending_ABOVE-FL100,vwind_median_descending_ABOVE-FL100,vwind_iqr_descending_ABOVE-FL100,uwind_median_descending_ABOVE-FL100,uwind_iqr_descending_ABOVE-FL100
20180813_519605,980,7260,2000,48.826607,0.279296875,3.649998,1.3588671684265137,25393.979,10860.896484375,0.75826186,4.240988127887249,-0.0069353012,0.23040492180734873,-33.32361,28.505615234375,3.888916,7.6222686767578125,17.39296,3.8263397216796875,46.005096,3.0821380615234375,15.695611,10.276435852050781,39481.0,417.625,0.17748603,0.8781480491161346,-0.0069353012,0.23040492180734873,-53.1528,1.0390625,1.7829742,18.271484375,11.979218,9.015625,41.278473,0.5001306533813477,27.839643,1.2229509353637695,11976.487,5677.958984375,-0.131533,2.376774225383997,-0.0069353012,0.23040492180734873,3.6944275,14.21002197265625,-2.472519,2.2985610961914062,-1.2959747,3.959026336669922
20181213_444071,540,7860,1440,48.58832,0.4167499542236328,2.670249,0.23211121559143066,19296.836,7984.6845703125,-0.0720242,8.446779251098633,-0.16672604,0.5200295075774193,-22.792923,12.277610778808594,-12.9301605,9.762702941894531,10.459961,17.73047637939453,45.17676,1.8808479309082031,13.957685,12.865326404571533,35732.13,989.05078125,0.042766966,3.0144824981689453,-0.16672604,0.5200295075774193,-52.658585,5.533843994140625,-9.73439,7.84375,30.06987,8.278671264648438,41.250404,0.5960731506347656,27.700554,1.2970695495605469,17395.29,5998.07275390625,-0.7152287,3.6845435351133347,-0.16672604,0.5200295075774193,-27.079254,18.553237915039062,1.1091919,4.13507080078125,25.172073,4.96820068359375
20180419_478047,480,8740,1800,49.085648,0.025096893310546875,3.4837298,0.5617849826812744,18844.395,7331.532470703125,1.660017,8.299947921186686,-0.15015,0.34528376813977957,-13.750641,19.341552734375,6.7760696,1.0172576904296875,-4.2573853,2.6413955688476562,46.72689,4.1535186767578125,16.134048,11.280455589294434,32877.582,2071.81640625,-0.059857067,0.036945516243577003,-0.15015,0.34528376813977957,-51.444595,7.3021392822265625,-12.239258,8.45703125,-15.919144,13.330123901367188,41.25329,0.35765552520751953,27.961754,1.0515799522399902,11853.949,1125.26513671875,-0.5649737,3.898917756974697,-0.15015,0.34528376813977957,-1.7095642,3.17364501953125,-2.9450226,0.5083160400390625,4.388199,2.01953125
20180119_417536,660,6800,1660,48.89372,0.21637725830078125,3.2234433,0.8223724365234375,22276.734,8038.41796875,3.3726428,6.8653803169727325,-0.20088595,0.4844426978379488,-43.01677,17.858291625976562,-5.1666565,0.67718505859375,25.606903,2.5980682373046875,46.09929,3.1129255294799805,15.256725,10.84613585472107,35524.79,894.65234375,0.04851696,1.3618770986795425,-0.20088595,0.4844426978379488,-58.46376,4.7869873046875,-2.4684143,15.420318603515625,52.528397,19.572296142578125,41.358883,0.7383136749267578,27.549742,1.4115772247314453,17459.822,9267.7763671875,-0.06775937,5.942217946052551,-0.20088595,0.4844426978379488,-23.033325,23.505523681640625,-9.709625,9.754959106445312,13.109314,22.754013061523438
20180119_425824,900,6580,1540,48.810867,0.2659721374511719,3.682138,1.2902302742004395,24381.596,8913.26171875,1.2998524,4.8875366151332855,-0.09362848,0.43444128707051277,-42.81526,17.592117309570312,-14.187332,3.640045166015625,25.704773,2.6473541259765625,45.885468,3.0572471618652344,15.700617,10.383798599243164,36527.992,729.07421875,0.13623144,0.7054004222154617,-0.09362848,0.43444128707051277,-58.112045,4.8423614501953125,1.1959839,14.42987060546875,51.8665,17.753448486328125,41.290966,0.6772308349609375,27.623373,1.3915538787841797,17498.268,7268.3203125,-1.0042356,3.6034174859523773,-0.09362848,0.43444128707051277,-20.875565,16.0718994140625,-1.4332886,9.801528930664062,20.875534,12.103897094726562
20180815_593381,880,8080,1720,48.796448,0.30358123779296875,3.56629,1.1981268525123596,23040.445,8742.31201171875,1.5945342,8.561236172914505,-0.056678787,0.3125102575868368,-22.601578,19.549667358398438,-2.3255005,5.609523773193359,6.650482,0.896484375,47.026558,3.3071908950805664,17.273449,11.118907690048218,34398.816,780.55078125,-0.13869646,0.5722387284040451,-0.056678787,0.3125102575868368,-49.052536,2.07525634765625,-0.6471634,7.3997039794921875,2.0669708,6.126251220703125,41.226875,0.2968330383300781,28.025536,0.9841432571411133,11985.697,551.966796875,-0.28384024,2.171363355591893,-0.056678787,0.3125102575868368,4.3467712,0.236328125,1.730072,1.55859375,0.9373627,2.11962890625
20180419_468938,740,8780,1700,48.823143,0.143768310546875,3.694176,0.9349942207336426,25061.596,10545.05859375,1.5845497,7.803522944450378,-0.052612603,0.6801732331514359,-25.845917,27.998428344726562,6.619278,2.3773956298828125,-3.8315125,2.9435272216796875,45.79204,3.2988662719726562,16.155731,11.289464950561523,32290.271,4819.716796875,-0.033735234,0.04015711881220341,-0.052612603,0.6801732331514359,-51.396255,7.672874450683594,-9.975281,5.7646331787109375,-19.266846,12.6986083984375,41.229813,0.3006439208984375,28.020273,1.0398101806640625,12193.824,472.8701171875,-0.64417017,4.245141535997391,-0.052612603,0.6801732331514359,-2.1688538,0.255859375,-3.1590576,1.466217041015625,4.137619,2.398651123046875
20180813_511378,940,7120,2620,48.830288,0.22389793395996094,3.5877528,1.3297498226165771,24339.709,9837.626953125,2.2686942,5.990527927875519,-0.028634066,0.33116357401013374,-25.078278,27.79541015625,3.1025085,6.4253387451171875,24.369171,4.8961944580078125,45.899536,3.078396797180176,15.006592,9.53551173210144,35816.516,593.443359375,0.022981744,0.7676516175270081,-0.028634066,0.33116357401013374,-53.16159,0.66796875,2.388153,16.584152221679688,8.604431,11.062744140625,41.459698,0.7340736389160156,27.399387,2.6486148834228516,12109.764,6985.32373046875,-0.027198486,3.7485154271125793,-0.028634066,0.33116357401013374,3.3402405,14.421966552734375,-1.9561615,1.8739013671875,-0.77545166,1.5704498291015625
20180418_468938,740,8780,1700,48.823143,0.143768310546875,3.694176,0.9349942207336426,25061.596,10545.05859375,1.5845497,7.803522944450378,-0.052612603,0.6801732331514359,-25.845917,27.998428344726562,6.619278,2.3773956298828125,-3.8315125,2.9435272216796875,45.79204,3.2988662719726562,16.155731,11.289464950561523,32290.271,4819.716796875,-0.033735234,0.04015711881220341,-0.052612603,0.6801732331514359,-51.396255,7.672874450683594,-9.975281,5.7646331787109375,-19.266846,12.6986083984375,41.229813,0.3006439208984375,28.020273,1.0398101806640625,12193.824,472.8701171875,-0.64417017,4.245141535997391,-0.052612603,0.6801732331514359,-2.1688538,0.255859375,-3.1590576,1.466217041015625,4.137619,2.398651123046875
20180819_713857,920,8080,1720,48.783882,0.24905109405517578,3.4799695,1.2991393208503723,23046.883,8444.40478515625,0.9449327,4.669772893190384,-0.09557997,0.5408277825335972,-20.992767,18.344345092773438,-1.8679199,2.52056884765625,-2.8694916,8.407867431640625,45.69642,3.2505311965942383,16.414482,11.03022837638855,31259.078,4808.00732421875,-0.030791054,0.03881214279681444,-0.09557997,0.5408277825335972,-40.052994,10.119308471679688,-2.2846222,4.9602508544921875,-5.3296356,10.900177001953125,41.229828,0.29729557037353516,28.022615,0.9905328750610352,12049.014,501.38671875,-0.16989529,2.1352738216519356,-0.09557997,0.5408277825335972,1.1842041,0.185546875,-4.1143036,1.162109375,-9.862503,0.892578125
20180816_623840,760,7100,2700,48.84191,0.17665386199951172,3.3779964,1.1459991931915283,24208.395,8932.61767578125,2.2549946,8.058721199631691,0.005358492,1.2402345016598701,-23.687164,18.285541534423828,13.019806,1.938934326171875,13.14785,1.2838287353515625,45.994343,3.0697078704833984,14.850783,10.050042152404785,37420.215,479.140625,0.012679334,0.8986401855945587,0.005358492,1.2402345016598701,-53.543655,1.4156341552734375,0.59983826,5.711875915527344,3.5267944,9.343208312988281,41.47903,0.6859111785888672,27.376919,2.6119604110717773,12417.777,10101.11474609375,-0.75352114,3.4806406795978546,0.005358492,1.2402345016598701,3.590393,20.305450439453125,6.6189117,3.0744400024414062,1.4747314,3.07403564453125
