ID,PHASE_climbing_ABOVE-FL100_DUR,PHASE_cruising_DUR,PHASE_descending_ABOVE-FL100_DUR,lat_median_climbing_ABOVE-FL100,lat_iqr_climbing_ABOVE-FL100,lon_median_climbing_ABOVE-FL100,lon_iqr_climbing_ABOVE-FL100,h_median_climbing_ABOVE-FL100,h_iqr_climbing_ABOVE-FL100,vdot_median_climbing_ABOVE-FL100,vdot_iqr_climbing_ABOVE-FL100,hdot_median_climbing_ABOVE-FL100,hdot_iqr_climbing_ABOVE-FL100,tempr_median_climbing_ABOVE-FL100,tempr_iqr_climbing_ABOVE-FL100,vwind_median_climbing_ABOVE-FL100,vwind_iqr_climbing_ABOVE-FL100,uwind_median_climbing_ABOVE-FL100,uwind_iqr_climbing_ABOVE-FL100,lat_median_cruising,lat_iqr_cruising,lon_median_cruising,lon_iqr_cruising,h_median_cruising,h_iqr_cruising,vdot_median_cruising,vdot_iqr_cruising,hdot_median_cruising,hdot_iqr_cruising,tempr_median_cruising,tempr_iqr_cruising,vwind_median_cruising,vwind_iqr_cruising,uwind_median_cruising,uwind_iqr_cruising,lat_median_descending_ABOVE-FL100,lat_iqr_descending_ABOVE-FL100,lon_median_descending_ABOVE-FL100,lon_iqr_descending_ABOVE-FL100,h_median_descending_ABOVE-FL100,h_iqr_descending_ABOVE-FL100,vdot_median_descending_ABOVE-FL100,vdot_iqr_descending_ABOVE-FL100,hdot_median_descending_ABOVE-FL100,hdot_iqr_descending_ABOVE-FL100,tempr_median_descending_ABOVE-FL100,tempr_iqr_descending_ABOVE-FL100,vwind_median_descending_ABOVE-FL100,vwind_iqr_descending_ABOVE-FL100,uwind_median_descending_ABOVE-FL100,uwind_iqr_descending_ABOVE-FL100
20180813_519605,940,7300,1920,48.80719,0.29352378845214844,3.6160922,1.3195167779922485,24611.111,10217.8935546875,-0.05177559,7.912505865097046,-0.057854146,0.5725877285003662,-26.066452,25.921310424804688,1.1602478,7.6222686767578125,15.834427,3.5560302734375,45.91915,3.0926246643066406,15.87909,10.503543853759766,39000.0,0.0,-0.041356694,0.032321314327418804,-0.057854146,0.5725877285003662,-52.997528,1.1003875732421875,1.638443,18.986404418945312,11.596405,9.03125,41.25524,0.5435619354248047,27.741238,1.256603717803955,12000.0,6285.7138671875,-0.03593451,0.13676383160054684,-0.057854146,0.5725877285003662,3.6944275,14.33819580078125,-2.472519,2.2444305419921875,-1.8218307,4.0328369140625
20181213_444071,1060,7400,1280,48.1495,0.9326858520507812,2.8640494,0.318737268447876,25000.0,9649.1484375,-0.046372466,9.549621976912022,-1.4974688e-12,0.236990399660177,-30.652267,21.54107666015625,-10.720718,5.598541259765625,14.45314,3.237518310546875,44.948505,2.2564077377319336,15.025288,12.106208562850952,35000.0,0.0,-0.00086444715,0.04151301458477974,-1.4974688e-12,0.236990399660177,-52.20717,3.449127197265625,-10.82943,6.4499053955078125,34.130142,8.79296875,41.237896,0.5066604614257812,27.83737,1.316843032836914,17000.0,3451.1767578125,-0.09591019,15.00053395703435,-1.4974688e-12,0.236990399660177,-22.062378,11.904586791992188,-0.06854248,2.3461151123046875,22.623215,3.602081298828125
20180419_478047,500,8540,1900,49.08059,0.041309356689453125,3.4722126,0.5979135036468506,19354.545,7551.4619140625,0.03866963,8.647201455198228,-0.093892954,0.5803894996642791,-13.750641,18.044296264648438,6.7515717,1.0172576904296875,-4.2573853,2.5345611572265625,48.802357,4.008695602416992,17.023905,11.26914644241333,39000.0,2000.0,-0.12994604,0.18508337438106537,-0.093892954,0.5803894996642791,0.0,0.0,0.0,0.0,0.0,0.0,41.25432,0.5475006103515625,27.742952,1.2509689331054688,12000.0,6341.462890625,-0.037884384,0.15899179875850677,-0.093892954,0.5803894996642791,-1.7095642,6.63751220703125,-2.9450226,1.9638214111328125,3.97023,2.47021484375
20180119_417536,680,6840,1440,48.907974,0.23784637451171875,3.2476964,0.8622340559959412,22789.473,8056.59814453125,-0.023486359,16.01654613018036,-0.06426112,0.6288992315530915,-43.051926,19.166664123535156,-5.1516037,1.6180953979492188,25.606903,4.4561309814453125,46.02428,3.1533946990966797,15.530832,11.112890243530273,39000.0,0.0,-0.056493744,0.04793325159698725,-0.06426112,0.6288992315530915,-58.558975,5.2220306396484375,-2.9195862,17.36040496826172,53.057693,21.134796142578125,41.296402,0.6496362686157227,27.66471,1.3656654357910156,17000.0,6579.99951171875,-0.091212906,0.2939068581908941,-0.06426112,0.6288992315530915,-17.270706,17.7919921875,-7.4565735,4.3616790771484375,10.236633,17.152099609375
20180119_425824,840,6680,1380,48.8283,0.22870540618896484,3.496326,1.1690909266471863,24000.0,9263.11865234375,-0.059748016,21.891251921653748,-0.029242085,0.3645998761057925,-42.82747,19.400890350341797,-14.373856,3.8370513916015625,25.977936,2.9896774291992188,45.941776,3.138503074645996,15.804396,10.796762704849243,39000.0,0.0,-0.055404954,0.04527859855443239,-0.029242085,0.3645998761057925,-58.112045,4.8336944580078125,0.48272705,15.1429443359375,51.197037,17.757843017578125,41.305954,0.6682624816894531,27.646938,1.377227783203125,17000.0,7000.0,-0.10237298,1.197027064859867,-0.029242085,0.3645998761057925,-16.482391,16.1539306640625,1.1887207,9.819107055664062,16.744415,13.664443969726562
20180815_593381,560,8180,1700,48.94748,0.21877670288085938,3.1246102,0.6825826168060303,19064.557,7302.1337890625,0.005319989,11.656588602811098,-0.05273084,0.4542994946241863,-10.359039,17.86407470703125,-3.0477905,5.104846954345703,6.8125153,0.5540618896484375,47.016445,3.6846466064453125,16.159813,11.152718544006348,37000.0,575.98046875,-0.06234358,0.12276679091155529,-0.05273084,0.4542994946241863,0.0,0.0,0.0,0.0,0.0,0.0,41.245354,0.5321846008300781,27.759592,1.237161636352539,12000.0,5461.5390625,-0.046219572,0.174584548920393,-0.05273084,0.4542994946241863,4.3467712,15.3507080078125,1.5103455,1.55859375,0.9373627,2.16796875
20180419_468938,720,8620,1580,48.805855,0.1371622085571289,3.6368773,0.907013475894928,25209.615,11285.28759765625,-0.04080221,11.427493393421173,-0.08780348,0.48947495967149734,-29.367004,27.981582641601562,6.1180115,2.4613800048828125,-3.800949,3.1190032958984375,45.771084,3.649709701538086,15.845003,11.040740966796875,35000.0,0.0,-0.03921647,0.057232901686802506,-0.08780348,0.48947495967149734,-52.19786,1.2804412841796875,-12.342468,5.6520233154296875,-22.557861,10.133697509765625,41.230118,0.5050487518310547,27.793283,1.2010927200317383,12000.0,5050.0,-0.053897474,0.22780082374811172,-0.08780348,0.48947495967149734,-2.1688538,11.3369140625,-3.1590576,1.78515625,3.637619,2.059967041015625
20180813_511378,840,7400,1860,48.8252,0.22817230224609375,3.5059805,1.1756440997123718,24000.0,9288.2763671875,-0.051738895,9.322878282517195,-1.5667467e-12,0.24627855047587088,-25.272125,24.270137786865234,3.0794067,5.72210693359375,24.276215,4.599018096923828,45.936726,3.18023681640625,15.790087,10.493785858154297,39000.0,0.0,-0.035302795,0.06175516080111265,-1.5667467e-12,0.24627855047587088,-53.30623,0.5321502685546875,1.0942078,15.608566284179688,7.2802124,12.026622772216797,41.302242,0.6694602966308594,27.65385,1.3748855590820312,12000.0,8385.931640625,-0.06128467,0.06417039968073368,-1.5667467e-12,0.24627855047587088,3.6195374,20.608642578125,-1.8350677,0.4375,-0.77545166,1.5302276611328125
20180418_468938,720,8620,1580,48.805855,0.1371622085571289,3.6368773,0.907013475894928,25209.615,11285.28759765625,-0.04080221,11.427493393421173,-0.08780348,0.48947495967149734,-29.367004,27.981582641601562,6.1180115,2.4613800048828125,-3.800949,3.1190032958984375,45.771084,3.649709701538086,15.845003,11.040740966796875,35000.0,0.0,-0.03921647,0.057232901686802506,-0.08780348,0.48947495967149734,-52.19786,1.2804412841796875,-12.342468,5.6520233154296875,-22.557861,10.133697509765625,41.230118,0.5050487518310547,27.793283,1.2010927200317383,12000.0,5050.0,-0.053897474,0.22780082374811172,-0.08780348,0.48947495967149734,-2.1688538,11.3369140625,-3.1590576,1.78515625,3.637619,2.059967041015625
20180819_713857,960,7780,1900,48.80136,0.3250131607055664,3.702732,1.3670243620872498,25083.367,10627.328125,-0.08018374,10.370145082473755,-1.608047e-12,0.4417076632381045,-24.423637,27.568099975585938,-2.217659,2.54595947265625,-3.5850677,7.973297119140625,45.878445,3.198986053466797,15.930239,10.466981887817383,37000.0,2000.0,-0.03142397,0.05904151266440749,-1.608047e-12,0.4417076632381045,0.0,0.0,0.0,0.0,0.0,0.0,41.237503,0.51434326171875,27.774157,1.2248153686523438,12000.0,5146.5517578125,-0.035900008,0.16362890601158142,-1.608047e-12,0.4417076632381045,1.1842041,4.228118896484375,-3.7861786,2.2400588989257812,-9.727737,6.011589050292969
